Algorithm,DataType,Size,Iterations,AvgTime_ns,ArrayMemory_bytes,ExtraMemory_bytes,TotalMemory_bytes
HeapSort,NearlySorted,10000,100,463647,40000,12,40012
BubbleSort,FewUnique,10000,10,184141140,40000,12,40012
InsertionSort,FewUnique,10000,10,8878850,40000,12,40012
SelectionSort,FewUnique,10000,10,24233090,40000,12,40012
MergeSort,FewUnique,10000,100,1231557,40000,40000,80000
QuickSort,FewUnique,10000,100,198315,40000,212,40212
HeapSort,FewUnique,10000,100,500493,40000,12,40012
BubbleSort,Random,50000,1,5601103700,200000,12,200012
InsertionSort,Random,50000,1,241507700,200000,12,200012
SelectionSort,Random,50000,1,608743600,200000,12,200012
MergeSort,Random,50000,10,8817600,200000,200000,400000
QuickSort,Random,50000,10,3036390,200000,249,200249
HeapSort,Random,50000,10,3672640,200000,12,200012
BubbleSort,Sorted,50000,1,36500,200000,12,200012
InsertionSort,Sorted,50000,1,60800,200000,12,200012
SelectionSort,Sorted,50000,1,601464300,200000,12,200012
MergeSort,Sorted,50000,10,5782010,200000,200000,400000
QuickSort,Sorted,50000,10,505800,200000,249,200249
HeapSort,Sorted,50000,10,2165300,200000,12,200012
BubbleSort,Reverse,50000,1,6098166800,200000,12,200012
InsertionSort,Reverse,50000,1,493269300,200000,12,200012
SelectionSort,Reverse,50000,1,611540900,200000,12,200012
MergeSort,Reverse,50000,10,5569520,200000,200000,400000
QuickSort,Reverse,50000,10,500160,200000,249,200249
HeapSort,Reverse,50000,10,2443710,200000,12,200012
BubbleSort,NearlySorted,50000,1,1659468100,200000,12,200012
InsertionSort,NearlySorted,50000,1,32312900,200000,12,200012
SelectionSort,NearlySorted,50000,1,620137900,200000,12,200012
MergeSort,NearlySorted,50000,10,6032180,200000,200000,400000
QuickSort,NearlySorted,50000,10,844950,200000,249,200249
HeapSort,NearlySorted,50000,10,2439180,200000,12,200012
BubbleSort,FewUnique,50000,1,5180389100,200000,12,200012
InsertionSort,FewUnique,50000,1,215270000,200000,12,200012
SelectionSort,FewUnique,50000,1,598702000,200000,12,200012
MergeSort,FewUnique,50000,10,6748520,200000,200000,400000
QuickSort,FewUnique,50000,10,1092010,200000,249,200249
HeapSort,FewUnique,50000,10,2402970,200000,12,200012
BubbleSort,Random,100000,1,23125776300,400000,12,400012
InsertionSort,Random,100000,1,948819200,400000,12,400012
SelectionSort,Random,100000,1,2406258900,400000,12,400012
MergeSort,Random,100000,10,16045120,400000,400000,800000
QuickSort,Random,100000,10,6354460,400000,265,400265
HeapSort,Random,100000,10,7787380,400000,12,400012
BubbleSort,Sorted,100000,1,71400,400000,12,400012
InsertionSort,Sorted,100000,1,101100,400000,12,400012
SelectionSort,Sorted,100000,1,2392305700,400000,12,400012
MergeSort,Sorted,100000,10,11155900,400000,400000,800000
QuickSort,Sorted,100000,10,1011400,400000,265,400265
HeapSort,Sorted,100000,10,4699680,400000,12,400012
BubbleSort,Reverse,100000,1,23911721300,400000,12,400012
InsertionSort,Reverse,100000,1,1909903500,400000,12,400012
SelectionSort,Reverse,100000,1,2387214400,400000,12,400012
MergeSort,Reverse,100000,10,10954720,400000,400000,800000
QuickSort,Reverse,100000,10,1048070,400000,265,400265
HeapSort,Reverse,100000,10,5063290,400000,12,400012
BubbleSort,NearlySorted,100000,1,6685634600,400000,12,400012
InsertionSort,NearlySorted,100000,1,120438100,400000,12,400012
SelectionSort,NearlySorted,100000,1,2439282500,400000,12,400012
MergeSort,NearlySorted,100000,10,11774460,400000,400000,800000
QuickSort,NearlySorted,100000,10,1763660,400000,265,400265
HeapSort,NearlySorted,100000,10,5300670,400000,12,400012
